gene_id,Col0_AWF_NT_R4,Col0_AWF_NT_R5,Col0_AWF_NT_R6,Col0_CL_R1,Col0_CL_R2,Col0_CL_R3,Col0_CL_ribo_R1,Col0_CL_ribo_R2,Col0_CL_ribo_R3,Col0_LSW_R1,Col0_LSW_R2,Col0_LSW_R3
AT4G36810,3,0,3,97,0,10,308,23,54,2,0,0
AT4G36820,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36830,0,0,0,5,0,0,24,0,2,0,0,0
AT4G36840,0,0,0,4,3,3,28,14,12,0,0,0
AT4G36850,0,0,0,0,0,130,8,46,522,0,0,0
AT4G36860,0,0,0,17,0,21,68,12,46,3,0,0
AT4G36870,0,0,0,99,18,63,170,153,146,0,0,0
AT4G36880,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36890,0,0,0,35,0,17,154,54,63,0,0,0
AT4G36900,3,0,2,5,0,15,73,87,69,0,0,0
AT4G36910,0,0,0,12,0,0,14,16,0,0,0,0
AT4G36920,0,0,0,31,0,12,135,43,88,0,0,0
AT4G36925,0,0,0,0,0,0,0,0,0,0,0,0
AT4G36930,0,0,0,0,0,0,0,8,11,0,0,0
AT4G36940,0,0,0,13,0,0,97,20,49,0,0,0
AT4G36945,0,0,0,0,0,5,31,12,31,0,0,0
AT4G36950,0,0,3,0,0,0,13,2,0,0,0,0
AT4G36960,0,0,3,29,0,0,108,21,56,0,0,0
AT4G36970,0,0,0,11,6,11,40,85,58,0,0,0
AT4G36980,0,0,0,108,0,117,270,66,369,3,0,0
AT4G36990,0,0,0,32,0,7,160,39,14,26,0,0
AT4G37000,0,0,0,99,0,6,370,51,71,0,0,0
AT4G37010,0,0,0,0,0,0,0,0,0,0,0,0
AT4G37020,0,0,0,14,0,0,32,24,39,0,0,0
AT4G37022,0,0,0,0,0,0,6,3,3,0,0,0
AT4G37030,0,0,0,0,0,0,0,0,0,0,0,0
AT4G37040,0,0,0,26,0,0,114,30,55,0,0,0
AT4G37050,0,0,0,0,0,0,0,0,0,0,0,0
AT4G37060,0,0,0,0,0,0,0,0,0,0,0,0
AT4G37070,0,0,0,0,0,0,0,0,0,0,0,0
AT4G37080,0,0,0,47,0,21,148,22,52,0,0,0
AT4G37090,0,0,0,14,0,0,12,22,12,0,0,0
AT4G37095,0,0,0,3,0,0,7,0,0,0,0,0
AT4G37100,0,3,0,22,0,16,96,9,38,0,0,0
AT4G37110,0,0,0,0,0,3,38,0,18,0,0,0
AT4G37120,0,0,0,105,10,54,260,73,236,8,0,0
AT4G37130,0,0,0,18,0,15,31,9,24,0,0,0
AT4G37140,0,0,0,0,0,0,0,0,0,0,0,0
AT4G37150,0,0,0,0,0,0,14,9,0,0,0,0
AT4G37160,0,0,0,0,0,0,0,0,0,0,0,0
AT4G37170,0,0,0,0,0,3,3,0,8,0,0,0
AT4G37175,0,0,0,0,0,0,0,0,0,0,0,0
AT4G37180,0,0,0,17,0,29,67,107,111,0,0,0
AT4G37190,0,0,0,23,0,13,66,0,36,0,0,0
AT4G37200,0,0,0,59,0,19,190,67,37,0,0,0
AT4G37210,0,0,0,23,0,17,87,12,78,0,0,0
AT4G37220,0,0,0,0,0,0,3,0,0,0,0,0
