"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G64230",62.9215260281753,0.109178845800129,1.75534733760018,0.062197858772152,0.950405267642704,1
"AT1G64390",14.4644033887813,0,2.92220677096942,0,1,1
"AT1G65260",14.0011198501776,0,1.83025172731028,0,1,1
"AT1G65440",25.3765820713866,0.0940321829403228,2.11735054448275,0.0444103047487084,0.964577347752574,1
"AT1G65800",15.4647961173309,0,1.9822957970614,0,1,1
"AT1G65980",17.279988365842,0,1.86286196521083,0,1,1
"AT1G66150",15.5485745966509,0,1.9440775905958,0,1,1
"AT1G66880",19.3423828211432,0,1.96495172592737,0,1,1
"AT1G67700",15.1552440948627,0,1.79200392462009,0,1,1
"AT1G68560",35.9602740168193,0,1.94205078207957,0,1,1
"AT1G70160",14.9010059356982,0,1.81101956680641,0,1,1
"AT1G70770",14.0973125692812,0,1.78300275722582,0,1,1
"AT1G70780",11.9845367206665,-0.124985903646051,1.60567497383057,-0.0778401019403564,0.937955246470434,1
"AT1G70890",16.9471305441336,0.326597518833317,1.9041840498136,0.171515730774705,0.863818262347222,1
"AT1G70940",20.7155546953143,0,1.7843182865165,0,1,1
"AT1G72180",13.060618492172,0,1.82569305035588,0,1,1
"AT1G73480",18.1356044558924,0,1.93719942486729,0,1,1
"AT1G75460",12.6498715334928,0,2.61782043374802,0,1,1
"AT1G75820",14.5720905188328,0,1.87030976989135,0,1,1
"AT1G78380",24.4554097896325,0.0278286977989748,1.53421195304805,0.0181387569974846,0.985528159418149,1
"AT1G78630",20.4176586073888,-0.033926768620769,1.36752464731979,-0.0248088900534714,0.980207400004794,1
"AT1G79340",17.4447019316857,0.0731140669528566,1.89124619350203,0.0386592011151499,0.969162101868847,1
"AT2G01190",15.7019660654966,0.0731866539917631,1.61991444157081,0.0451793330027943,0.963964367301389,1
"AT2G01420",14.82167247696,0,1.7921336618207,0,1,1
"AT2G01850",22.74353712804,0,2.12442774538873,0,1,1
"AT2G05540",22.9587753484608,-0.0753122233711149,2.50293491847874,-0.0300895651801002,0.975995622744417,1
"AT2G05710",49.5161425570507,-0.0384911198316482,1.75673675427482,-0.0219105792247953,0.9825192858007,1
"AT2G06850",33.63493987187,0,2.31376296194316,0,1,1
"AT2G18050",46.2690884188032,0,2.24959459113165,0,1,1
"AT2G20230",12.5370721987639,0,1.89434951437826,0,1,1
"AT2G20890",25.0223821422006,0,1.83325291403674,0,1,1
"AT2G20990",22.7304325312798,-0.115450055289038,1.9509984149791,-0.0591748585763329,0.952812834492214,1
"AT2G22660",13.7512869627732,0,1.76631481186211,0,1,1
"AT2G22990",20.1013653103824,0,2.30246136942185,0,1,1
"AT2G23760",16.594921310015,0,1.86723593320773,0,1,1
"AT2G24360",14.6234597519648,-0.199567752773504,1.77253502414261,-0.112588891082723,0.910356492677515,1
"AT2G24420",13.5294639440446,0,1.8263011567251,0,1,1
"AT2G26740",15.8235645402039,0.0461939745199882,1.42641961459248,0.0323845620513187,0.974165373729636,1
"AT2G26910",14.3319304682417,0,2.38773634439073,0,1,1
"AT2G27830",27.8792313761448,0.0661684907908466,1.83502542750664,0.036058623384175,0.971235614611902,1
"AT2G28630",16.8815394577849,0,2.32349472329763,0,1,1
"AT2G28800",54.3871356209206,0.115349817054404,1.55113088025084,0.0743649801077713,0.940719973445342,1
"AT2G28900",15.7262648160928,0,2.27426184241245,0,1,1
"AT2G29980",17.2503830465584,0,2.47327546878357,0,1,1
"AT2G30930",17.239840508084,0,2.2927294759057,0,1,1
"AT2G31960",13.6486727521071,0,2.26523048034668,0,1,1
"AT2G32800",16.9033764161133,0.143886440803539,1.38151928581792,0.104150873810171,0.917049618884549,1
"AT2G34590",12.2635014754609,0,1.88301836518411,0,1,1
"AT2G35050",36.9056734534013,0.0303625979329512,1.79755406176624,0.0168910624602397,0.986523522874901,1
"AT2G35060",18.2137781740583,0,1.96488668459175,0,1,1
"AT2G35260",19.5042329367926,0,1.79388470837817,0,1,1
