"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G11700",18.5709542938026,-5.21506438663738,1.26927348107757,-4.10870034266372,3.9789195076993e-05,0.00333104761394565
"AT2G07756",15.5432027228192,7.57859921805998,1.87683982145357,4.03795738529808,5.39186447733233e-05,0.00435498917920468
"AT2G20890",25.0223821422006,-5.68884351104081,1.40939184907331,-4.03638173073109,5.42818698005257e-05,0.00435498917920468
"AT2G07783",256.395603126636,6.14590714301297,1.52739149275386,4.02379296478338,5.72682660015282e-05,0.00450081821167112
"AT2G07755",17.8699698213643,8.28562643123221,2.07056659379352,4.00162277130724,6.29095388168468e-05,0.00484529267967354
"AT2G13360",204.629589896054,-3.91218208361798,0.9812169450722,-3.98707146596425,6.68938805495682e-05,0.00504028088103975
"AT2G34430",564.735885597062,-3.01013405874458,0.755750789758297,-3.98297176732991,6.80588433690125e-05,0.00504028088103975
"AT1G68560",35.9602740168193,-6.06604330574152,1.54737578828124,-3.9202134036745,8.84705915679221e-05,0.00642830656845411
"AT2G01010",25711191.0997729,3.45142515962043,0.889460268424352,3.8803590021334,0.000104302396527972,0.00743830609313367
"AT4G13510",27.6834194748595,-5.78479269998629,1.49861562480283,-3.86009100949243,0.00011334480261745,0.00779447919428213
"AT5G65220",19.4233902845162,-5.04912786459396,1.30738843330154,-3.86199520814441,0.000112464772943425,0.00779447919428213
"AT1G72645",73.3866494283299,-5.01000799214756,1.29941774689599,-3.85557916544954,0.000115455959049272,0.00780036663682011
"AT2G15970",41.6798669588793,-6.00958353052309,1.57061283795172,-3.82626665547977,0.000130101357684362,0.00863828152487031
"AT2G35260",19.5042329367926,-5.137097178368,1.3597551959263,-3.7779573806802,0.00015811992966614,0.0101486641524051
"AT3G08940",257.084489435934,-2.4913587399376,0.658879747919792,-3.78120400240453,0.000156071712693156,0.0101486641524051
"AT3G52850",15.0380403264751,-4.84141360122388,1.29299413069648,-3.74434306102845,0.000180866386840995,0.0114183025528635
"AT1G07920",231.524244758796,3.17298065377904,0.849272156459931,3.73611760334302,0.000186883291891172,0.0114937569283204
"AT1G11310",20.1087042376134,-5.06858091630192,1.35720341732674,-3.73457718393123,0.000188030819653124,0.0114937569283204
"AT1G21270",20.6941264721675,-5.33774986235889,1.43861487104906,-3.7103396953394,0.000206981327433864,0.0124544545616845
"AT1G21250",35.4117283536827,-5.94178833120038,1.61329785073655,-3.68300765322885,0.000230498236622567,0.0136561339882078
"AT3G07780",40.5204137817637,-5.10468884181813,1.38913101704291,-3.6747353411521,0.000238096091556423,0.0138925461906634
"AT2G01420",14.82167247696,-4.96539168783177,1.35821723273611,-3.65581555597631,0.000256365637621297,0.0147352846340241
"AT1G33240",17.2231626279541,-5.24745727200653,1.4397922488868,-3.64459336134341,0.000267814905417899,0.0150249207845395
"AT1G79750",21.1222407541129,-4.98678335462244,1.37424866925389,-3.62873435222599,0.000284814130685896,0.0150249207845395
"AT2G07794",11.8162956544755,6.41378447526578,1.76704840607999,3.62965974966927,0.000283795054233843,0.0150249207845395
"AT2G36850",14.843752755623,-4.90180009421227,1.35046220827693,-3.62972030181172,0.000283728491561883,0.0150249207845395
"AT3G41768",35964111.7556902,3.19662772776039,0.878825295030667,3.63738702770138,0.000275417928642997,0.0150249207845395
"AT5G06700",13.9789033553852,-4.9540868271693,1.36409865911537,-3.63176577739772,0.000281488552047206,0.0150249207845395
"AT2G22660",13.7512869627732,-4.79996017047044,1.3245955802275,-3.62371748941367,0.000290398794597247,0.0151125102431621
"AT1G27770",17.4702947889949,-4.94932347648303,1.37138000816884,-3.60900949919176,0.00030736835587694,0.0157823405130946
"AT3G20820",16.1351254533565,-4.73909306955185,1.31533394857063,-3.60295807365255,0.000314616290708739,0.0159419386252547
"AT1G07940",270.266398134962,3.87275390324904,1.07944664153631,3.58772148082947,0.000333580342730107,0.0160616375988981
"AT1G47128",64.185823222653,-6.38445071705609,1.77684188339506,-3.59314510577449,0.000326710526990161,0.0160616375988981
"AT1G70770",14.0973125692812,-4.83584842540316,1.34672998398029,-3.59080772161225,0.000329654770119645,0.0160616375988981
"AT5G21090",22.1027746703449,-4.95552477094119,1.38127014408111,-3.58765791918122,0.000333661648380122,0.0160616375988981
"AT5G53140",15.5652183818492,-4.97602075728726,1.39171978708432,-3.57544730158081,0.000349629600493457,0.0166225134753124
"AT1G04140",14.6491028001699,-4.70366972157917,1.32455843907409,-3.5511228367298,0.000383591342518436,0.0177522551651109
"AT1G79245",110.433142182391,-2.36781773247937,0.6678326692333,-3.54552546103761,0.000391831131922728,0.0177522551651109
"AT2G07683",22.633486439932,6.22799638248917,1.75196630027308,3.55486083352084,0.000378179199944971,0.0177522551651109
"AT5G61960",13.5104588976952,-4.66496263817583,1.31533274374156,-3.54660268314009,0.000390232633209562,0.0177522551651109
"AT1G26920",10.6632257870625,-4.59987723035329,1.30040700840743,-3.53725964303025,0.000404301993851966,0.0177906082091377
"AT4G25570",16.4563257325135,-5.03020693774826,1.42161823150747,-3.53836693020901,0.000402610154806293,0.0177906082091377
